학교명,설립구분,평균등록금
강릉원주대학교,국공립,4262 
강원대학교,국공립,4116 
경남과학기술대학교,국공립,3771 
경북대학교,국공립,4351 
경상대학교,국공립,3967 
경인교육대학교,국공립,3189 
공주교육대학교,국공립,3424 
공주대학교,국공립,3824 
광주교육대학교,국공립,3477 
군산대학교,국공립,3914 
금오공과대학교,국공립,3769 
대구교육대학교,국공립,3604 
목포대학교,국공립,3895 
목포해양대학교,국공립,3424 
부경대학교,국공립,4042 
부산교육대학교,국공립,3024 
부산대학교,국공립,4325 
서울과학기술대학교,국공립,5405 
서울교육대학교,국공립,3088 
서울대학교,국공립,5962 
서울시립대학교,국공립,2390 
순천대학교,국공립,3946 
안동대학교,국공립,3745 
인천대학교,국공립,4681 
전남대학교,국공립,4129 
전북대학교,국공립,4181 
전주교육대학교,국공립,3272 
제주대학교,국공립,3783 
진주교육대학교,국공립,3445 
창원대학교,국공립,3898 
청주교육대학교,국공립,3230 
춘천교육대학교,국공립,3185 
충남대학교,국공립,4216 
충북대학교,국공립,4253 
한경대학교,국공립,4062 
한국교원대학교,국공립,3184 
한국교통대학교,국공립,4107 
한국체육대학교,국공립,3884 
한국해양대학교,국공립,3743 
한밭대학교,국공립,4451 
가야대학교,사립,6656 
가천대학교,사립,8206 
가톨릭관동대학교,사립,7088 
가톨릭대학교,사립,7016 
감리교신학대학교,사립,5994 
강남대학교,사립,7358 
건국대학교,사립,8042 
건양대학교,사립,6700 
경기대학교,사립,7226 
경남대학교,사립,6426 
경동대학교,사립,7272 
경성대학교,사립,6486 
경운대학교,사립,7534 
경일대학교,사립,7183 
경주대학교,사립,6722 
경희대학교,사립,7752 
계명대학교,사립,7151 
고려대학교,사립,8215 
고신대학교,사립,6594 
광신대학교,사립,5986 
광운대학교,사립,7800 
광주가톨릭대학교,사립,0 
광주대학교,사립,6497 
광주여자대학교,사립,6269 
국민대학교,사립,7853 
극동대학교,사립,7336 
금강대학교,사립,6564 
김천대학교,사립,6980 
꽃동네대학교,사립,7031 
나사렛대학교,사립,7115 
남부대학교,사립,6492 
남서울대학교,사립,7787 
단국대학교,사립,8086 
대구가톨릭대학교,사립,7125 
대구대학교,사립,6801 
대구예술대학교,사립,8295 
대구외국어대학교,사립,5226 
대구한의대학교,사립,7164 
대신대학교,사립,6333 
대전가톨릭대학교,사립,5760 
대전대학교,사립,7233 
대전신학대학교,사립,5956 
대진대학교,사립,7157 
덕성여자대학교,사립,6973 
동국대학교,사립,7862 
동덕여자대학교,사립,7377 
동명대학교,사립,6899 
동서대학교,사립,6779 
동신대학교,사립,6589 
동아대학교,사립,6735 
동양대학교,사립,6879 
동의대학교,사립,6513 
루터대학교,사립,6300 
명지대학교,사립,8090 
목원대학교,사립,7202 
목포가톨릭대학교,사립,6452 
배재대학교,사립,7090 
백석대학교,사립,7708 
부산가톨릭대학교,사립,6745 
부산외국어대학교,사립,6118 
부산장신대학교,사립,5831 
삼육대학교,사립,7746 
상명대학교,사립,7851 
상지대학교,사립,6952 
서강대학교,사립,7946 
서경대학교,사립,7759 
서남대학교,사립,6662 
서울기독대학교,사립,7098 
서울신학대학교,사립,6823 
서울여자대학교,사립,7510 
서울장신대학교,사립,7558 
서원대학교,사립,6898 
선문대학교,사립,7483 
성결대학교,사립,7184 
성공회대학교,사립,7048 
성균관대학교,사립,8357 
성신여자대학교,사립,7713 
세명대학교,사립,6803 
세종대학교,사립,7812 
세한대학교,사립,6272 
송원대학교,사립,6376 
수원가톨릭대학교,사립,5097 
수원대학교,사립,7481 
숙명여자대학교,사립,7919 
순천향대학교,사립,7756 
숭실대학교,사립,7913 
신경대학교,사립,6701 
신라대학교,사립,6566 
신한대학교,사립,8649 
아세아연합신학대학교,사립,6556 
아주대학교,사립,8232 
안양대학교,사립,7535 
연세대학교,사립,8824 
영남대학교,사립,7339 
영남신학대학교,사립,5967 
영동대학교,사립,7298 
영산대학교,사립,6458 
영산선학대학교,사립,2000 
예수대학교,사립,6693 
예원예술대학교,사립,7918 
용인대학교,사립,7646 
우석대학교,사립,6904 
우송대학교,사립,7061 
울산대학교,사립,7284 
원광대학교,사립,7278 
위덕대학교,사립,7323 
을지대학교,사립,8499 
이화여자대학교,사립,8526 
인제대학교,사립,7021 
인천가톨릭대학교,사립,7509 
인하대학교,사립,7626 
장로회신학대학교,사립,6615 
전주대학교,사립,6968 
제주국제대학교,사립,6381 
조선대학교,사립,6872 
중부대학교,사립,7161 
중앙대학교,사립,8068 
중앙승가대학교,사립,1760 
중원대학교,사립,7161 
차의과학대학교,사립,7131 
창신대학교,사립,6237 
청운대학교,사립,7274 
청주대학교,사립,7623 
초당대학교,사립,6431 
총신대학교,사립,6935 
추계예술대학교,사립,8471 
침례신학대학교,사립,5983 
칼빈대학교,사립,6950 
케이씨대학교,사립,6697 
평택대학교,사립,7439 
포항공과대학교,사립,5580 
한국국제대학교,사립,6355 
한국기술교육대학교,사립,4521 
한국산업기술대학교,사립,9004 
한국성서대학교,사립,7063 
한국외국어대학교,사립,7121 
한국항공대학교,사립,8470 
한남대학교,사립,7189 
한동대학교,사립,7087 
한라대학교,사립,6934 
한려대학교,사립,6437 
한림대학교,사립,7455 
한서대학교,사립,7947 
한성대학교,사립,7595 
한세대학교,사립,8076 
한신대학교,사립,7175 
한양대학교,사립,8423 
한영신학대학교,사립,6636 
한일장신대학교,사립,6196 
한중대학교,사립,7159 
협성대학교,사립,7300 
호남대학교,사립,6482 
호남신학대학교,사립,6438 
호서대학교,사립,7695 
호원대학교,사립,6929 
홍익대학교,사립,8297 
